Date,Product,Region,Channel,Quantity,Unit_Price,Revenue,Discount_Pct,Customer_Rating
2025-02-16,Mouse,North,Online,4,53.69,204.01,5,3.6
2025-06-16,Laptop,West,Partner,12,861.85,9825.06,5,4.1
2025-04-03,Tablet,East,Partner,20,419.82,6717.14,20,4.4
2025-03-15,Headphones,East,Retail,9,147.84,1264.05,5,3.0
2025-12-13,Monitor,East,Partner,15,325.13,4876.9,0,3.6
2025-05-09,Keyboard,East,Partner,7,84.46,561.63,5,3.2
2025-07-03,Webcam,Central,Online,10,85.37,853.67,0,4.3
2025-10-17,Laptop,South,Partner,16,972.83,12452.21,20,3.6
2025-06-30,Headphones,South,Partner,20,153.07,3061.42,0,4.4
2025-02-19,Laptop,North,Retail,15,864.65,12969.69,0,4.5
2025-06-17,Mouse,West,Partner,5,45.82,183.29,20,4.9
2025-05-20,Tablet,North,Retail,16,427.18,5467.85,20,4.7
2025-02-08,Tablet,East,Partner,8,471.82,3019.67,20,4.3
2025-07-07,Phone,Central,Partner,1,739.64,739.64,0,3.9
2025-07-15,Case,West,Retail,8,17.51,133.09,5,
2025-11-09,Headphones,South,Online,15,153.4,1955.85,15,3.8
2025-01-20,Charger,East,Retail,4,31.88,127.51,0,4.1
2025-07-09,Monitor,West,Retail,5,343.36,1630.94,5,4.7
2025-05-24,Laptop,Central,Online,7,933.21,6205.86,5,3.5
2025-12-18,Case,North,Retail,12,19.17,230.03,0,3.4
2025-02-16,Headphones,South,Partner,20,153.22,3064.46,0,3.7
2025-04-16,Phone,South,Retail,18,745.11,13411.95,0,4.6
2025-03-17,Webcam,North,Partner,5,80.15,400.75,0,4.6
2025-01-14,Tablet,North,Online,8,405.43,2919.13,10,3.3
2025-08-04,Monitor,West,Online,3,322.03,917.79,5,3.7
2025-08-20,Monitor,West,Retail,20,329.56,6591.28,0,4.8
2025-08-23,Laptop,East,Partner,16,820.04,10496.47,20,4.4
2025-08-16,Phone,West,Partner,11,754.82,7472.69,10,3.3
2025-10-27,Monitor,West,Retail,13,363.81,4256.56,10,3.9
2025-02-20,Phone,South,Retail,18,748.32,11449.3,15,3.9
2025-06-23,Keyboard,Central,Online,4,77.4,309.6,0,4.3
2025-12-18,Keyboard,Central,Online,3,72.16,216.48,0,4.5
2025-10-12,Laptop,Central,Partner,18,914.55,14815.65,10,3.2
2025-08-05,Laptop,South,Online,20,983.22,19664.36,0,4.2
2025-12-03,Keyboard,Central,Partner,4,74.64,298.57,0,3.7
2025-04-26,Mouse,West,Partner,20,52.38,942.89,10,4.1
2025-12-22,Charger,Central,Online,9,26.27,200.95,15,4.8
2025-04-03,Tablet,North,Online,13,454.96,5914.42,0,4.3
2025-09-29,Headphones,Central,Partner,15,145.31,2179.66,0,3.6
2025-11-02,Phone,North,Retail,5,752.59,3762.96,0,3.1
2025-08-15,Mouse,North,Retail,15,48.86,696.25,5,4.5
2025-08-09,Phone,South,Retail,19,668.7,12070.0,5,3.6
2025-11-03,Laptop,Central,Retail,10,810.48,8104.82,0,4.5
2025-03-03,Laptop,South,Partner,14,898.53,12579.42,0,4.1
2025-10-14,Case,North,Retail,2,17.37,33.01,5,
2025-10-22,Mouse,Central,Online,14,49.72,696.07,0,3.0
2025-11-13,Keyboard,East,Partner,12,84.25,1010.95,0,3.2
2025-07-25,Monitor,South,Online,10,319.59,2716.51,15,3.7
2025-09-19,Phone,South,Online,7,703.28,3938.36,20,4.5
2025-02-22,Tablet,North,Online,6,427.09,2306.26,10,4.5
2025-11-18,Keyboard,West,Partner,19,78.43,1192.14,20,4.4
2025-11-22,Webcam,Central,Retail,11,85.85,944.38,0,3.9
2025-10-30,Laptop,Central,Retail,3,872.38,2617.14,0,3.1
2025-02-09,Phone,North,Retail,17,715.08,11548.51,5,4.1
2025-10-20,Headphones,North,Retail,16,143.68,2069.01,10,3.1
2025-02-13,Monitor,West,Partner,2,359.2,718.4,0,5.0
2025-11-09,Tablet,West,Online,10,436.78,4149.39,5,3.7
2025-11-20,Case,West,Online,4,17.35,62.46,10,3.6
2025-06-20,Phone,East,Online,5,710.57,3552.83,0,4.3
2025-11-01,Phone,West,Online,13,672.38,7429.79,15,4.6
2025-11-27,Mouse,Central,Retail,1,49.08,49.08,0,4.9
2025-04-09,Headphones,West,Partner,5,163.9,819.5,0,4.6
2025-09-27,Laptop,South,Partner,20,928.11,18562.3,0,3.3
2025-11-16,Tablet,East,Partner,2,468.86,890.84,5,4.4
2025-05-26,Keyboard,South,Retail,8,74.8,598.38,0,4.6
2025-12-14,Webcam,West,Retail,15,97.62,1171.48,20,3.8
2025-03-24,Headphones,Central,Partner,5,157.98,631.91,20,4.3
2025-02-22,Monitor,West,Online,10,373.51,3735.11,0,3.5
2025-08-12,Phone,North,Retail,8,761.41,4873.01,20,3.7
2025-01-28,Mouse,North,Retail,8,49.02,372.55,5,3.7
2025-02-20,Case,South,Partner,5,20.11,100.54,0,4.7
2025-08-29,Keyboard,West,Partner,3,80.82,242.47,0,4.7
2025-11-08,Monitor,East,Partner,10,343.64,3436.43,0,3.1
2025-11-15,Keyboard,West,Online,16,72.09,1038.13,10,4.3
2025-03-15,Charger,North,Partner,20,28.59,571.79,0,3.8
2025-07-04,Phone,North,Retail,18,762.39,12350.65,10,4.0
2025-08-29,Laptop,North,Retail,12,923.39,11080.72,0,3.7
2025-05-04,Phone,West,Retail,11,736.96,8106.51,0,
2025-11-26,Tablet,South,Online,15,478.67,6103.02,15,3.4
2025-08-23,Laptop,Central,Partner,2,861.86,1378.98,20,3.1
2025-07-23,Monitor,North,Partner,2,347.14,555.43,20,3.6
2025-06-19,Charger,East,Retail,12,26.82,305.77,5,4.5
2025-04-06,Keyboard,East,Online,12,82.03,787.53,20,4.6
2025-08-09,Webcam,Central,Partner,6,97.81,528.19,10,3.2
2025-06-01,Charger,North,Partner,14,28.69,401.61,0,3.7
2025-06-30,Webcam,North,Partner,9,97.87,748.68,15,4.9
2025-11-23,Mouse,East,Online,6,47.66,285.96,0,4.2
2025-03-06,Phone,West,Online,12,662.09,7945.11,0,4.1
2025-12-14,Keyboard,West,Retail,12,86.09,981.44,5,4.1
2025-07-23,Case,South,Retail,8,19.57,156.55,0,
2025-09-23,Mouse,South,Partner,4,53.05,212.21,0,4.4
2025-05-27,Keyboard,East,Online,5,74.26,297.05,20,3.3
2025-12-16,Case,South,Partner,3,19.64,53.02,10,4.8
2025-12-30,Tablet,South,Online,17,475.37,8081.36,0,3.4
2025-09-10,Laptop,South,Partner,19,873.99,16605.79,0,5.0
2025-02-14,Phone,West,Online,16,672.34,9681.68,10,3.8
2025-03-06,Case,West,Partner,15,19.54,278.46,5,3.7
2025-10-28,Tablet,North,Partner,5,473.05,2246.97,5,4.7
2025-03-20,Charger,West,Retail,11,27.06,252.96,15,4.9
2025-02-10,Charger,West,Online,18,27.24,490.29,0,3.6
2025-09-15,Tablet,West,Retail,19,457.24,8687.64,0,4.2
2025-10-16,Laptop,West,Retail,1,957.48,957.48,0,
2025-11-30,Headphones,West,Retail,14,156.96,1977.64,10,4.0
2025-11-25,Charger,South,Retail,13,28.9,375.71,0,4.4
2025-08-01,Keyboard,Central,Partner,11,78.44,776.54,10,4.7
2025-06-26,Mouse,East,Online,12,45.38,490.12,10,3.6
2025-05-17,Keyboard,West,Retail,4,75.02,300.07,0,3.8
2025-05-08,Tablet,East,Partner,19,477.15,7705.98,15,4.5
2025-08-28,Keyboard,East,Online,16,84.99,1359.83,0,3.8
2025-04-21,Webcam,East,Retail,2,86.38,172.76,0,4.8
2025-10-02,Laptop,East,Retail,14,961.42,13459.9,0,4.5
2025-01-24,Mouse,East,Partner,18,44.6,802.82,0,3.6
2025-08-19,Monitor,North,Retail,20,333.62,5671.62,15,3.3
2025-07-11,Case,East,Partner,12,19.22,184.51,20,4.2
2025-01-21,Laptop,West,Partner,11,816.1,7181.65,20,3.9
2025-03-13,Case,Central,Partner,11,20.64,227.03,0,4.2
2025-06-22,Monitor,North,Retail,18,371.91,6359.74,5,3.6
2025-06-19,Phone,North,Partner,19,766.09,14555.71,0,4.5
2025-08-31,Charger,East,Online,19,31.71,542.22,10,3.1
2025-09-26,Webcam,West,Partner,13,93.89,1220.54,0,3.5
2025-02-26,Headphones,East,Partner,11,134.66,1407.24,5,4.4
2025-11-10,Keyboard,Central,Partner,2,84.89,144.31,15,3.4
2025-09-02,Monitor,Central,Partner,6,340.4,1940.29,5,3.7
2025-12-15,Charger,Central,Retail,7,29.64,207.47,0,3.6
2025-12-27,Headphones,Central,Retail,16,154.67,2474.71,0,4.1
2025-03-04,Webcam,South,Retail,13,92.14,1137.98,5,4.9
2025-01-22,Charger,East,Online,3,31.64,94.92,0,4.3
2025-04-14,Monitor,West,Online,18,333.03,5095.28,15,3.2
2025-05-05,Laptop,East,Retail,17,929.54,15802.11,0,3.1
2025-08-30,Phone,South,Retail,5,724.33,3621.65,0,5.0
2025-12-01,Keyboard,North,Online,7,78.64,440.4,20,3.6
2025-11-30,Webcam,North,Retail,2,84.23,168.47,0,4.7
2025-09-11,Tablet,West,Partner,10,488.21,4882.07,0,
2025-02-24,Case,West,Retail,18,18.18,294.54,10,4.9
2025-05-20,Headphones,South,Online,11,158.2,1740.23,0,4.3
2025-06-22,Charger,East,Retail,7,29.39,205.75,0,4.3
2025-09-21,Case,South,Online,4,17.43,69.72,0,4.0
2025-05-14,Mouse,North,Retail,9,46.41,417.67,0,4.4
2025-12-01,Case,East,Partner,2,19.73,33.55,15,3.6
2025-09-15,Charger,South,Retail,10,30.1,301.04,0,3.4
2025-03-20,Keyboard,East,Partner,20,82.91,1658.28,0,4.1
2025-12-07,Headphones,West,Partner,20,156.8,2508.85,20,4.1
2025-07-05,Phone,South,Partner,4,757.33,3029.32,0,4.8
2025-10-02,Tablet,West,Retail,17,418.88,6764.84,5,3.4
2025-02-16,Monitor,West,Online,2,345.19,655.87,5,3.8
2025-10-14,Keyboard,Central,Online,10,81.73,694.7,15,
2025-04-22,Webcam,North,Online,14,81.4,1139.6,0,4.1
2025-08-30,Laptop,East,Retail,6,860.72,4131.45,20,4.3
2025-07-15,Keyboard,West,Online,13,84.84,1047.77,5,4.9
2025-12-01,Case,South,Online,18,17.55,300.12,5,4.5
2025-01-12,Charger,South,Retail,18,28.79,492.23,5,4.6
2025-06-27,Tablet,North,Online,4,428.85,1715.41,0,3.8
2025-04-16,Phone,North,Online,2,643.21,1222.09,5,4.4
2025-01-23,Mouse,South,Partner,18,48.4,871.23,0,4.6
2025-05-29,Headphones,Central,Online,19,158.41,3009.8,0,4.5
2025-06-04,Tablet,West,Partner,17,492.62,8374.46,0,3.6
2025-03-31,Mouse,West,Retail,2,49.55,99.09,0,4.3
2025-12-23,Mouse,South,Online,10,48.1,456.96,5,4.1
2025-06-03,Tablet,West,Online,2,476.46,857.63,10,3.8
2025-07-18,Headphones,Central,Online,11,141.7,1324.88,15,3.9
2025-10-02,Headphones,North,Online,13,135.64,1498.78,15,3.1
2025-10-28,Monitor,North,Online,7,329.25,1843.79,20,3.6
2025-04-08,Phone,East,Online,16,733.51,11736.22,0,4.4
2025-10-10,Case,Central,Retail,13,20.05,247.58,5,3.7
2025-09-20,Keyboard,Central,Retail,16,78.46,1004.32,20,4.8
2025-07-31,Laptop,West,Partner,8,910.24,6189.65,15,3.5
2025-08-02,Charger,East,Partner,11,26.98,296.82,0,4.7
2025-12-02,Case,South,Partner,16,18.08,245.86,15,4.0
2025-06-30,Tablet,North,Partner,18,416.67,7125.03,5,4.8
2025-01-18,Phone,South,Partner,2,761.24,1217.98,20,
2025-04-29,Phone,West,Partner,1,727.96,727.96,0,3.7
2025-12-08,Webcam,West,Retail,16,96.35,1541.55,0,
2025-01-07,Laptop,East,Online,9,904.29,7324.74,10,3.0
2025-02-24,Phone,Central,Retail,8,702.41,5619.27,0,3.5
2025-07-23,Phone,South,Retail,13,681.25,8413.47,5,5.0
2025-12-17,Phone,East,Online,2,720.49,1440.98,0,3.8
2025-11-23,Laptop,Central,Partner,3,935.47,2666.09,5,4.3
2025-02-18,Monitor,West,Retail,8,378.26,3026.05,0,4.4
2025-05-19,Laptop,Central,Online,9,975.26,7899.64,10,3.1
2025-04-17,Webcam,West,Retail,13,82.67,1074.67,0,4.1
2025-12-13,Monitor,West,Partner,5,337.25,1349.02,20,4.4
2025-06-27,Laptop,West,Partner,8,826.66,5290.65,20,4.2
2025-07-23,Case,Central,Partner,9,17.21,123.93,20,4.0
2025-07-12,Mouse,Central,Online,19,45.92,741.61,15,4.5
2025-02-07,Phone,East,Retail,13,666.56,7365.52,15,3.3
2025-07-04,Phone,South,Online,10,641.89,6098.0,5,3.5
2025-04-06,Mouse,Central,Partner,18,48.5,785.68,10,3.1
2025-02-17,Webcam,East,Online,11,90.75,798.56,20,3.6
2025-10-14,Headphones,Central,Retail,6,151.14,770.84,15,3.3
2025-09-10,Tablet,North,Retail,14,409.78,5736.94,0,4.0
2025-05-09,Headphones,South,Retail,16,155.58,2240.39,10,3.9
2025-01-04,Mouse,Central,Retail,20,47.36,899.76,5,3.7
2025-11-30,Webcam,Central,Online,11,82.52,816.98,10,3.4
2025-07-23,Case,Central,Retail,16,18.21,262.19,10,3.7
2025-07-06,Phone,West,Online,7,759.4,4784.24,10,3.4
2025-08-25,Headphones,East,Partner,10,147.17,1177.33,20,4.6
2025-09-13,Tablet,East,Online,8,460.97,3687.79,0,4.4
2025-08-18,Webcam,East,Partner,13,88.63,1036.98,10,4.8
2025-01-19,Case,South,Partner,18,19.77,320.21,10,3.2
2025-12-07,Case,East,Retail,20,17.73,354.64,0,4.3
2025-08-09,Phone,West,Partner,9,630.57,5675.17,0,4.0
2025-10-22,Headphones,West,Online,13,147.38,1820.19,5,4.2
2025-06-26,Laptop,South,Retail,10,895.9,8511.07,5,3.2
2025-06-09,Case,East,Partner,7,18.83,118.63,10,4.0
2025-12-23,Keyboard,Central,Partner,10,76.14,761.39,0,3.2
2025-02-25,Tablet,West,Retail,8,487.61,3510.77,10,3.3
2025-08-25,Headphones,North,Partner,6,157.87,947.24,0,3.9
2025-11-11,Headphones,South,Online,14,147.5,1961.71,5,
2025-05-23,Phone,North,Retail,18,709.81,12776.64,0,3.4
2025-12-10,Keyboard,North,Retail,11,79.44,786.44,10,3.8
2025-06-30,Keyboard,Central,Online,10,80.85,727.69,10,4.3
2025-05-03,Charger,West,Online,12,26.78,273.14,15,3.8
2025-10-22,Mouse,South,Partner,16,48.25,656.14,15,4.8
2025-03-27,Keyboard,Central,Online,6,75.66,453.98,0,4.2
2025-09-06,Tablet,East,Retail,13,421.62,4932.98,10,4.0
2025-12-30,Keyboard,South,Retail,3,78.82,212.82,10,
2025-01-17,Charger,East,Partner,10,27.4,274.04,0,4.1
2025-09-19,Phone,West,Online,9,709.17,5105.99,20,5.0
2025-08-14,Monitor,South,Retail,14,329.35,4610.96,0,4.3
2025-01-17,Keyboard,South,Online,3,75.25,214.47,5,3.2
2025-10-29,Case,South,Online,20,20.37,346.32,15,4.2
2025-01-31,Webcam,Central,Retail,9,86.34,699.39,10,3.6
2025-10-21,Charger,East,Online,17,31.62,456.97,15,3.3
2025-05-22,Tablet,South,Partner,5,467.09,2335.44,0,3.6
2025-07-21,Keyboard,North,Retail,9,73.35,561.1,15,3.9
2025-09-21,Charger,North,Partner,12,30.13,343.47,5,3.7
2025-02-17,Keyboard,South,Retail,12,81.13,778.85,20,4.1
2025-04-19,Keyboard,East,Retail,10,75.34,753.43,0,3.3
2025-12-16,Laptop,East,Retail,15,817.36,12260.41,0,4.7
2025-01-01,Mouse,Central,Online,5,46.08,195.85,15,4.7
2025-12-02,Case,East,Partner,12,18.05,184.13,15,3.3
2025-06-06,Headphones,North,Online,3,146.89,374.57,15,3.4
2025-10-31,Headphones,Central,Online,15,149.58,2243.69,0,
2025-08-05,Tablet,North,Retail,8,447.0,3397.18,5,4.6
2025-07-08,Charger,West,Partner,5,26.9,114.31,15,3.3
2025-01-05,Webcam,South,Retail,15,91.67,1375.06,0,4.3
2025-11-12,Keyboard,East,Retail,3,84.69,254.06,0,3.2
2025-08-08,Case,West,Partner,8,20.11,160.85,0,3.5
2025-11-08,Charger,South,Partner,1,30.62,24.49,20,4.8
2025-11-07,Monitor,South,Retail,13,327.27,4254.48,0,4.6
2025-07-17,Phone,Central,Retail,20,662.8,13256.06,0,5.0
2025-03-09,Mouse,East,Online,19,52.54,948.27,5,4.4
2025-01-09,Webcam,North,Retail,9,81.3,731.72,0,
2025-09-17,Charger,North,Partner,17,29.75,404.54,20,4.4
2025-10-02,Monitor,South,Online,9,357.1,3213.9,0,4.0
2025-10-02,Case,South,Online,3,18.58,55.75,0,4.5
2025-05-06,Phone,South,Online,4,758.36,2881.78,5,3.1
2025-01-07,Tablet,Central,Online,6,467.09,2662.44,5,4.0
2025-07-10,Tablet,North,Retail,9,471.43,3606.44,15,4.5
2025-08-08,Charger,East,Retail,9,29.14,222.91,15,4.3
2025-09-19,Case,North,Partner,19,17.31,328.9,0,3.5
2025-12-12,Phone,North,Online,17,661.03,11237.53,0,
2025-01-24,Keyboard,West,Partner,5,76.85,384.25,0,4.7
2025-12-02,Mouse,North,Partner,8,46.3,351.88,5,3.6
2025-07-10,Phone,North,Retail,2,699.29,1398.57,0,4.0
2025-02-05,Keyboard,Central,Online,10,84.78,847.83,0,3.9
2025-05-30,Webcam,East,Online,20,94.06,1881.28,0,4.2
2025-10-07,Headphones,North,Retail,14,138.59,1940.22,0,3.7
2025-01-01,Mouse,East,Retail,10,52.42,524.2,0,5.0
2025-01-31,Tablet,West,Retail,3,468.01,1404.02,0,4.8
2025-12-25,Case,East,Online,3,18.84,50.87,10,3.3
2025-10-31,Webcam,East,Partner,5,81.21,406.04,0,4.7
2025-06-17,Case,West,Online,8,18.82,150.56,0,3.3
2025-03-21,Phone,South,Retail,15,652.08,9781.19,0,4.1
2025-06-07,Keyboard,West,Online,4,75.29,301.15,0,4.4
2025-04-21,Case,Central,Retail,8,17.66,141.31,0,3.1
2025-03-31,Laptop,East,Online,15,980.29,13233.87,10,3.5
2025-03-13,Phone,North,Partner,8,630.77,5046.17,0,3.8
2025-10-28,Charger,East,Online,3,31.42,94.26,0,3.4
2025-02-17,Case,East,Retail,15,17.57,263.48,0,4.1
2025-01-16,Mouse,Central,Retail,6,50.8,304.77,0,3.4
2025-03-18,Laptop,West,Retail,20,919.52,18390.33,0,4.0
2025-02-01,Phone,West,Online,5,668.21,3174.01,5,4.8
2025-11-19,Monitor,East,Retail,13,369.58,3843.63,20,4.0
2025-10-17,Monitor,West,Online,9,336.55,3028.93,0,
2025-01-16,Charger,South,Online,16,26.44,380.73,10,4.2
2025-02-21,Headphones,North,Online,9,153.67,1244.76,10,4.8
2025-10-22,Mouse,Central,Partner,6,47.58,285.46,0,3.6
2025-01-15,Case,East,Partner,19,20.7,393.31,0,3.4
2025-06-08,Tablet,West,Retail,3,448.14,1344.42,0,3.4
2025-01-01,Case,Central,Online,7,20.59,115.29,20,4.4
2025-01-12,Tablet,Central,Online,5,456.78,1827.11,20,4.1
2025-07-11,Mouse,East,Partner,11,49.84,548.27,0,5.0
2025-09-07,Case,Central,Online,18,17.76,271.76,15,4.2
2025-12-07,Webcam,South,Partner,13,94.6,1229.76,0,3.6
2025-01-01,Webcam,West,Online,19,87.07,1654.34,0,3.6
2025-11-24,Webcam,Central,Retail,16,81.95,1311.25,0,3.2
2025-03-27,Phone,South,Online,11,743.97,7774.47,5,
2025-12-21,Phone,East,Retail,4,678.1,2305.53,15,
2025-08-03,Tablet,East,Partner,16,483.53,7349.7,5,3.8
2025-11-30,Headphones,Central,Retail,3,138.95,333.47,20,3.6
2025-02-23,Phone,North,Retail,13,676.88,8799.5,0,4.1
2025-11-01,Webcam,East,Online,1,96.0,91.2,5,3.3
